Vulnerability Type,Description,Severity,Exploitability
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,High
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Low
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,High
Session Management,Session did not expire properly after logout.,Critical,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,High
Access Control,Unauthorized users could access privileged actions.,Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Medium
Session Management,Session did not expire properly after logout.,Medium,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Critical
Password Security,Passwords stored using weak hashing algorithm.,Low,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Low
Session Management,Session did not expire properly after logout.,Medium,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Critical
Reconnaissance,Found outdated software versions during recon phase.,High,Medium
Session Management,Session did not expire properly after logout.,Low,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,Low,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Low
Session Management,Session did not expire properly after logout.,Critical,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
Access Control,Unauthorized users could access privileged actions.,Critical,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Low
Session Management,Reused session ID for unauthorized access.,Low,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Medium
Session Management,Session fixation vulnerability found in login mechanism.,High,Critical
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Medium
Access Control,Exploited weak access control rules in API endpoints.,Low,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,High
Access Control,Exploited weak access control rules in API endpoints.,High,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Low,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,High
Access Control,Unauthorized users could access privileged actions.,Critical,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,High
Access Control,Exploited weak access control rules in API endpoints.,Critical,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Low,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Medium
Reconnaissance,Found outdated software versions during recon phase.,Low,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,Medium,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,High
Access Control,Exploited weak access control rules in API endpoints.,Medium,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Low
Session Management,Reused session ID for unauthorized access.,Low,High
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Critical
Access Control,Bypassed access control to access restricted admin resources.,Medium,High
Database Vulnerabilities,Discovered exposed database query logs.,High,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Critical
Password Security,Passwords stored using weak hashing algorithm.,Low,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Medium
Access Control,Exploited weak access control rules in API endpoints.,Critical,Medium
Session Management,Session did not expire properly after logout.,Medium,Medium
Reconnaissance,Found outdated software versions during recon phase.,High,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Low,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Medium
Password Security,Weak password policy allowing easily guessable passwords.,Low,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Low
Automated Scanning,Found insecure HTTP methods enabled.,Low,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Critical
Access Control,Bypassed access control to access restricted admin resources.,Medium,High
Access Control,Exploited weak access control rules in API endpoints.,Critical,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Critical
Session Management,Session did not expire properly after logout.,Medium,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Critical
Access Control,Exploited weak access control rules in API endpoints.,Low,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Access Control,Bypassed access control to access restricted admin resources.,Critical,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,High
XSS Testing,Injected script that executed on multiple user sessions.,High,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,High,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Low
XSS Testing,Injected script that executed on multiple user sessions.,Critical,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Low,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,High,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Low,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Critical
Access Control,Exploited weak access control rules in API endpoints.,Medium,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Low,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Password Security,Weak password policy allowing easily guessable passwords.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,High
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,Low,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,High
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Low
Session Management,Session fixation vulnerability found in login mechanism.,High,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Low
Password Security,Weak password policy allowing easily guessable passwords.,High,High
Session Management,Session fixation vulnerability found in login mechanism.,High,Low
Session Management,Session fixation vulnerability found in login mechanism.,High,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,High
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Medium
Session Management,Reused session ID for unauthorized access.,Critical,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Medium
Access Control,Unauthorized users could access privileged actions.,Medium,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Medium
Reconnaissance,Found outdated software versions during recon phase.,Medium,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Medium
Session Management,Session did not expire properly after logout.,Low,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Low
XSS Testing,Injected script that executed on multiple user sessions.,Low,High
Session Management,Session did not expire properly after logout.,Medium,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Critical
Access Control,Bypassed access control to access restricted admin resources.,Low,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,High
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Critical
Database Vulnerabilities,Discovered exposed database query logs.,High,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,Low
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Medium
Access Control,Exploited weak access control rules in API endpoints.,Low,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,High,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,High
Static Code Analysis,Improper input validation leading to potential code injection.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,High
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Critical
Session Management,Reused session ID for unauthorized access.,High,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,High
Access Control,Unauthorized users could access privileged actions.,Medium,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Critical
Access Control,Unauthorized users could access privileged actions.,Medium,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,Medium
Access Control,Unauthorized users could access privileged actions.,Low,Critical
Session Management,Session did not expire properly after logout.,Low,Low
Password Security,Weak password policy allowing easily guessable passwords.,High,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Low,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Low
Access Control,Bypassed access control to access restricted admin resources.,Critical,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,High
Reconnaissance,Detected subdomains hosting vulnerable services.,High,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Low,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Low,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,High,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Low
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Low,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Critical
Access Control,Unauthorized users could access privileged actions.,Critical,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Critical
Access Control,Bypassed access control to access restricted admin resources.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Low
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Critical
Access Control,Bypassed access control to access restricted admin resources.,Critical,Medium
XSS Testing,Injected script that executed on multiple user sessions.,Low,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Critical
Session Management,Session did not expire properly after logout.,High,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Low
